This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Electricity - production(kWh) 	 Date of Information
1 	 World 	  15,850,000,000,000 	 2003 est.
2 	 United States 	   3,892,000,000,000 	 2003
3 	 European Union 	   2,925,000,000,000 	 2002 est.
4 	 China 	   2,190,000,000,000 	 2004
5 	 Japan 	   1,017,000,000,000 	 2003
6 	 Russia 	    931,000,000,000 	 2004
7 	 Canada 	    566,300,000,000 	 2003
8 	 Germany 	    558,100,000,000 	 2003
9 	 India 	    556,800,000,000 	 2003
10 	 France 	    536,900,000,000 	 2003
11 	 United Kingdom 	    369,900,000,000 	 2003
12 	 Brazil 	    359,200,000,000 	 2003
13 	 Korea, South 	    326,200,000,000 	 2003
14 	 Italy 	    270,100,000,000 	 2003
15 	 Spain 	    247,300,000,000 	 2003
16 	 Taiwan 	    218,300,000,000 	 2004
17 	 South Africa 	    215,900,000,000 	 2003
18 	 Australia 	    215,800,000,000 	 2003
19 	 Mexico 	    209,200,000,000 	 2003
20 	 Ukraine 	    169,900,000,000 	 2003
21 	 Poland 	    150,800,000,000 	 2004
22 	 Saudi Arabia 	    145,100,000,000 	 2003
23 	 Iran 	    142,300,000,000 	 2003
24 	 Turkey 	    133,600,000,000 	 2003
25 	 Sweden 	    127,900,000,000 	 2003
26 	 Thailand 	    114,700,000,000 	 2003
27 	 Indonesia 	    109,500,000,000 	 2003
28 	 Norway 	    105,600,000,000 	 2003
29 	 Netherlands 	     91,000,000,000 	 2003
30 	 Venezuela 	     87,440,000,000 	 2003
31 	 Egypt 	     84,260,000,000 	 2003
32 	 Argentina 	     83,290,000,000 	 2003
33 	 Finland 	     79,610,000,000 	 2003
34 	 Malaysia 	     79,280,000,000 	 2003
35 	 Belgium 	     78,770,000,000 	 2003
36 	 Czech Republic 	     78,180,000,000 	 2003
37 	 Pakistan 	     76,920,000,000 	 2003
38 	 Switzerland 	     63,400,000,000 	 2003
39 	 Kazakhstan 	     60,330,000,000 	 2003
40 	 Austria 	     55,750,000,000 	 2003
41 	 Greece 	     54,560,000,000 	 2003
42 	 Romania 	     51,700,000,000 	 2003
43 	 Paraguay 	     51,290,000,000 	 2003
44 	 Philippines 	     47,820,000,000 	 2003
45 	 Colombia 	     47,140,000,000 	 2003
46 	 Uzbekistan 	     46,520,000,000 	 2003
47 	 Chile 	     45,300,000,000 	 2003
